update,avg_ep_reward,eval_greedy_mean,eval_greedy_std,eval_random_mean,eval_random_std,paired_diff_mean,paired_diff_std,paired_diff_se,paired_diff_t,paired_diff_ci_low,paired_diff_ci_high,eval_episodes,eval_seed,greedy_target_freq_0,greedy_target_freq_1,greedy_target_freq_2,greedy_target_freq_3,greedy_target_freq_4,greedy_target_freq_5,greedy_target_freq_6,greedy_target_freq_7,greedy_target_freq_8,greedy_target_freq_9,random_target_freq_0,random_target_freq_1,random_target_freq_2,random_target_freq_3,random_target_freq_4,random_target_freq_5,random_target_freq_6,random_target_freq_7,random_target_freq_8,random_target_freq_9
1,2.703125,2.6050000190734863,1.872567057609558,2.484999895095825,1.8155595064163208,0.11999999731779099,2.379899024963379,0.16828427390908576,0.7130790924802637,-0.2098371795440171,0.44983717417959906,200,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.806640625,2.6050000190734863,1.872567057609558,2.484999895095825,1.8155595064163208,0.11999999731779099,2.379899024963379,0.16828427390908576,0.7130790924802637,-0.2098371795440171,0.44983717417959906,200,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.779296875,2.6050000190734863,1.872567057609558,2.484999895095825,1.8155595064163208,0.11999999731779099,2.379899024963379,0.16828427390908576,0.7130790924802637,-0.2098371795440171,0.44983717417959906,200,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.623046875,2.6050000190734863,1.872567057609558,2.484999895095825,1.8155595064163208,0.11999999731779099,2.379899024963379,0.16828427390908576,0.7130790924802637,-0.2098371795440171,0.44983717417959906,200,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.841796875,2.8399999141693115,2.111085891723633,2.6700000762939453,1.7964509725570679,0.17000000178813934,2.4208266735076904,0.171178295691456,0.9931165694893908,-0.16550945776711445,0.5055094613433931,200,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.734375,2.8399999141693115,2.111085891723633,2.6700000762939453,1.7964509725570679,0.17000000178813934,2.4208266735076904,0.171178295691456,0.9931165694893908,-0.16550945776711445,0.5055094613433931,200,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.708984375,2.8399999141693115,2.111085891723633,2.6700000762939453,1.7964509725570679,0.17000000178813934,2.4208266735076904,0.171178295691456,0.9931165694893908,-0.16550945776711445,0.5055094613433931,200,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.572265625,2.8399999141693115,2.111085891723633,2.6700000762939453,1.7964509725570679,0.17000000178813934,2.4208266735076904,0.171178295691456,0.9931165694893908,-0.16550945776711445,0.5055094613433931,200,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.80078125,2.8399999141693115,2.111085891723633,2.6700000762939453,1.7964509725570679,0.17000000178813934,2.4208266735076904,0.171178295691456,0.9931165694893908,-0.16550945776711445,0.5055094613433931,200,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.67578125,3.0399999618530273,2.126265525817871,2.8450000286102295,2.451740264892578,0.19499999284744263,2.9986555576324463,0.21203696792446308,0.9196509210455708,-0.22059246428450502,0.6105924499793902,200,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
