update,avg_ep_reward,eval_greedy_mean,eval_greedy_std,eval_random_mean,eval_random_std,paired_diff_mean,paired_diff_std,paired_diff_se,paired_diff_t,paired_diff_ci_low,paired_diff_ci_high,eval_episodes,eval_seed,greedy_target_freq_0,greedy_target_freq_1,greedy_target_freq_2,greedy_target_freq_3,greedy_target_freq_4,greedy_target_freq_5,greedy_target_freq_6,greedy_target_freq_7,greedy_target_freq_8,greedy_target_freq_9,random_target_freq_0,random_target_freq_1,random_target_freq_2,random_target_freq_3,random_target_freq_4,random_target_freq_5,random_target_freq_6,random_target_freq_7,random_target_freq_8,random_target_freq_9
1,2.12646484375,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
2,2.166015625,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
3,2.25244140625,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
4,2.36181640625,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
5,2.39794921875,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
6,2.44140625,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
7,2.50439453125,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
8,2.62353515625,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
9,2.66796875,2.0940001010894775,2.302121639251709,2.0959999561309814,2.18914794921875,-0.0020000000949949026,2.988621473312378,0.133655215466841,-0.014963876179535169,-0.2639642224100033,0.2599642222200135,500,0,0.0,0.414,0.214,0.212,0.114,0.046,0.0,0.0,0.0,0.0,0.0,0.266,0.228,0.27,0.15,0.086,0.0,0.0,0.0,0.0
10,2.6123046875,2.822000026702881,2.608433246612549,2.0959999561309814,2.0521223545074463,0.7260000109672546,3.0570600032806396,0.1367158795726248,5.310282998849424,0.4580368870049101,0.9939631349295992,500,10,0.0,0.402,0.22,0.202,0.11,0.066,0.0,0.0,0.0,0.0,0.0,0.264,0.23,0.27,0.15,0.086,0.0,0.0,0.0,0.0
11,2.59130859375,2.822000026702881,2.608433246612549,2.0959999561309814,2.0521223545074463,0.7260000109672546,3.0570600032806396,0.1367158795726248,5.310282998849424,0.4580368870049101,0.9939631349295992,500,10,0.0,0.402,0.22,0.202,0.11,0.066,0.0,0.0,0.0,0.0,0.0,0.264,0.23,0.27,0.15,0.086,0.0,0.0,0.0,0.0
