update,avg_ep_reward,eval_greedy_mean,eval_greedy_std,eval_random_mean,eval_random_std,paired_diff_mean,paired_diff_std,paired_diff_se,paired_diff_t,paired_diff_ci_low,paired_diff_ci_high,eval_episodes,eval_seed,greedy_target_freq_0,greedy_target_freq_1,greedy_target_freq_2,greedy_target_freq_3,greedy_target_freq_4,greedy_target_freq_5,greedy_target_freq_6,greedy_target_freq_7,greedy_target_freq_8,greedy_target_freq_9,random_target_freq_0,random_target_freq_1,random_target_freq_2,random_target_freq_3,random_target_freq_4,random_target_freq_5,random_target_freq_6,random_target_freq_7,random_target_freq_8,random_target_freq_9
1,2.6982421875,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.7255859375,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.66455078125,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.7138671875,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.72265625,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.69921875,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.61328125,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.77978515625,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.7099609375,3.0,2.091111183166504,2.8499999046325684,1.9148977994918823,0.15000000596046448,2.7295422554016113,0.1220688406107219,1.2288148655299773,-0.08925492163655044,0.3892549335574794,500,12345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.6845703125,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.64111328125,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.6962890625,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.703125,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.697265625,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.83203125,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.75732421875,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.68994140625,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.6875,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.6240234375,2.8299999237060547,1.8687119483947754,2.6659998893737793,1.8234840631484985,0.164000004529953,2.342665195465088,0.10476717251165536,1.5653758767967894,-0.041343653592891494,0.3693436626527975,500,12355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.63916015625,2.934000015258789,2.044015645980835,2.7019999027252197,1.8351926803588867,0.23199999332427979,2.622199058532715,0.117268306908302,1.9783690874439952,0.002154111784007845,0.46184587486455175,500,12365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.70654296875,2.934000015258789,2.044015645980835,2.7019999027252197,1.8351926803588867,0.23199999332427979,2.622199058532715,0.117268306908302,1.9783690874439952,0.002154111784007845,0.46184587486455175,500,12365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.6875,2.934000015258789,2.044015645980835,2.7019999027252197,1.8351926803588867,0.23199999332427979,2.622199058532715,0.117268306908302,1.9783690874439952,0.002154111784007845,0.46184587486455175,500,12365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
